season,round,player,elo
1,1,Atletico Madrid,1848.0
1,1,Barcelona,1861.0
1,1,Brøndby,1485.0
1,1,Chelsea,1780.0
1,1,Dinamo Zagreb,1593.0
1,1,FC Midtjylland,1569.0
1,1,Frankfurt,1719.0
1,1,Hajduk Split,1506.0
1,1,Liverpool,1946.0
1,1,Manchester City,2083.0
1,1,Manchester United,1865.0
1,1,Napoli,1811.0
1,1,Newcastle,1884.0
1,1,RB Leipzig,1817.0
1,1,Real Madrid,1917.0
1,1,Sporting Lissabon,1752.0
1,1,Tottenham,1829.0
1,2,APOEL Nicosia,1436.0
1,2,Aberdeen,1348.0
1,2,Barcelona,1861.0
1,2,Bayer Leverkusen,1756.0
1,2,Cremonese,1525.0
1,2,Dundee Utd,1208.0
1,2,FCK,1626.0
1,2,Hertha Berlin,1539.0
1,2,Liverpool,1946.0
1,2,Manchester City,2083.0
1,2,Manchester United,1865.0
1,2,Newcastle,1884.0
1,2,OB,1434.0
1,2,Omonia,1431.0
1,2,Real Madrid,1917.0
1,2,Roma,1783.0
1,2,Vejle,1310.0
1,2,Viborg,1464.0
1,3,AC Milan,1829.0
1,3,Almeria,1601.0
1,3,Arsenal,1921.0
1,3,Atalanta,1768.0
1,3,Bayer Leverkusen,1756.0
1,3,Bayern München,1940.0
1,3,Benfica,1794.0
1,3,Chelsea,1780.0
1,3,Club Brügge,1638.0
1,3,Dortmund,1843.0
1,3,FC Nordsjælland,1547.0
1,3,Ferencvaros,1386.0
1,3,Fulham,1732.0
1,3,Napoli,1908.0
1,3,PSG,1796.0
1,3,Schalke 04,1570.0
1,3,Sevilla,1755.0
1,3,Tottenham,1829.0
1,3,Viborg,1464.0
1,4,Ajax,1744.0
1,4,Anderlecht,1569.0
1,4,Barcelona,1861.0
1,4,Chelsea,1780.0
1,4,Everton,1691.0
1,4,FC Midtjylland,1569.0
1,4,Feyenoord,1745.0
1,4,Frankfurt,1719.0
1,4,Inter,1885.0
1,4,Liverpool,1946.0
1,4,Manchester City,2083.0
1,4,Molde,1562.0
1,4,Napoli,1908.0
