Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,season_fdc,league_fdc
E0,2022-08-05,Crystal Palace,Arsenal,0,2,2223,E0
E0,2022-08-06,Fulham,Liverpool,2,2,2223,E0
E0,2022-08-06,Bournemouth,Aston Villa,2,0,2223,E0
E0,2022-08-06,Leeds,Wolves,2,1,2223,E0
E0,2022-08-06,Newcastle,Nott'm Forest,2,0,2223,E0
E0,2022-08-06,Tottenham,Southampton,4,1,2223,E0
E0,2022-08-06,Everton,Chelsea,0,1,2223,E0
E0,2022-08-07,Leicester,Brentford,2,2,2223,E0
E0,2022-08-07,Man United,Brighton,1,2,2223,E0
E0,2022-08-07,West Ham,Man City,0,2,2223,E0
E0,2022-08-13,Aston Villa,Everton,2,1,2223,E0
E0,2022-08-13,Arsenal,Leicester,4,2,2223,E0
E0,2022-08-13,Brighton,Newcastle,0,0,2223,E0
E0,2022-08-13,Man City,Bournemouth,4,0,2223,E0
E0,2022-08-13,Southampton,Leeds,2,2,2223,E0
E0,2022-08-13,Wolves,Fulham,0,0,2223,E0
E0,2022-08-13,Brentford,Man United,4,0,2223,E0
E0,2022-08-14,Nott'm Forest,West Ham,1,0,2223,E0
E0,2022-08-14,Chelsea,Tottenham,2,2,2223,E0
E0,2022-08-15,Liverpool,Crystal Palace,1,1,2223,E0
E0,2022-08-20,Tottenham,Wolves,1,0,2223,E0
E0,2022-08-20,Crystal Palace,Aston Villa,3,1,2223,E0
E0,2022-08-20,Everton,Nott'm Forest,1,1,2223,E0
E0,2022-08-20,Fulham,Brentford,3,2,2223,E0
E0,2022-08-20,Leicester,Southampton,1,2,2223,E0
E0,2022-08-20,Bournemouth,Arsenal,0,3,2223,E0
E0,2022-08-21,Leeds,Chelsea,3,0,2223,E0
E0,2022-08-21,West Ham,Brighton,0,2,2223,E0
E0,2022-08-21,Newcastle,Man City,3,3,2223,E0
E0,2022-08-22,Man United,Liverpool,2,1,2223,E0
E0,2022-08-27,Southampton,Man United,0,1,2223,E0
E0,2022-08-27,Brentford,Everton,1,1,2223,E0
E0,2022-08-27,Brighton,Leeds,1,0,2223,E0
E0,2022-08-27,Chelsea,Leicester,2,1,2223,E0
E0,2022-08-27,Liverpool,Bournemouth,9,0,2223,E0
E0,2022-08-27,Man City,Crystal Palace,4,2,2223,E0
E0,2022-08-27,Arsenal,Fulham,2,1,2223,E0
E0,2022-08-28,Aston Villa,West Ham,0,1,2223,E0
E0,2022-08-28,Wolves,Newcastle,1,1,2223,E0
E0,2022-08-28,Nott'm Forest,Tottenham,0,2,2223,E0
E0,2022-08-30,Crystal Palace,Brentford,1,1,2223,E0
E0,2022-08-30,Fulham,Brighton,2,1,2223,E0
E0,2022-08-30,Southampton,Chelsea,2,1,2223,E0
E0,2022-08-30,Leeds,Everton,1,1,2223,E0
E0,2022-08-31,Arsenal,Aston Villa,2,1,2223,E0
E0,2022-08-31,Bournemouth,Wolves,0,0,2223,E0
E0,2022-08-31,Man City,Nott'm Forest,6,0,2223,E0
E0,2022-08-31,West Ham,Tottenham,1,1,2223,E0
E0,2022-08-31,Liverpool,Newcastle,2,1,2223,E0
E0,2022-09-01,Leicester,Man United,0,1,2223,E0
E0,2022-09-03,Everton,Liverpool,0,0,2223,E0
E0,2022-09-03,Brentford,Leeds,5,2,2223,E0
E0,2022-09-03,Chelsea,West Ham,2,1,2223,E0
E0,2022-09-03,Newcastle,Crystal Palace,0,0,2223,E0
E0,2022-09-03,Nott'm Forest,Bournemouth,2,3,2223,E0
E0,2022-09-03,Tottenham,Fulham,2,1,2223,E0
E0,2022-09-03,Wolves,Southampton,1,0,2223,E0
E0,2022-09-03,Aston Villa,Man City,1,1,2223,E0
E0,2022-09-04,Brighton,Leicester,5,2,2223,E0
