season,round,match_no,match_code,date,league,home_team,away_team,odds_1,odds_x,odds_2,prob_1,prob_2,elo_home,elo_away,elo_diff,opta_home,opta_away,opta_diff,favourit,rec_regel,rec_lr,rec_bzz,n20_prob_1,n20_prob_x,n20_prob_2,n20_rec,n20_elo_home,n20_elo_away,odds_mc_p1,odds_mc_px,odds_mc_p2,odds_mc_unc,rec_odds_mc,rec_ensemble,ensemble_conf,ensemble_p1,ensemble_px,ensemble_p2
4,7,1,VIB-KØB,2026-03-07,DBU Pokalen,Viborg FF,FC København,,,,,,1481.0,1596.0,-115.0,76.9,81.6,-4.7,2.0,,,,,,,,,,,,,,,,,,,
4,7,2,ATL-REA,2026-04-18,Copa del Rey,Atlético Madrid,Real Sociedad,,,,,,1870.0,1651.0,219.0,92.2,83.1,9.1,1.0,,,,,,,,,,,,,,,,,,,
4,7,3,MAN-ARS,2026-04-19,Premier League,Manchester City,Arsenal,,,,,,1807.0,2052.0,31.0,97.5,100.0,-2.5,2.0,,,,,,,,,,,,,,,,,,,
4,7,4,SPO-BEN,2026-04-19,Liga Portugal,Sporting CP,Benfica,,,,,,1821.0,1807.0,14.0,90.3,90.2,0.1,1.0,,,,,,,,,,,,,,,,,,,
4,7,5,MID-AGF,2026-04-20,Superligaen,FC Midtjylland,AGF,,,,,,1678.0,1841.0,,85.5,80.6,4.9,1.0,,,,,,,,,,,,,,,,,,,
4,7,6,BRI-CHE,2026-04-21,Premier League,Brighton,Chelsea,2.28,3.9,2.85,41.9,33.5,1838.0,1882.0,-44.0,92.0,93.3,-1.3,2.0,,,,,,,,,,,,,,,,,,,
4,7,7,INT-COM,2026-04-21,Coppa Italia,Inter Milan,Como,,,,,,1926.0,1723.0,203.0,90.1,87.0,3.1,1.0,,,,,,,,,,,,,,,,,,,
4,7,8,BOD-SPO,2026-03-11,Champions League,Bodø/Glimt,Sporting CP,,,,,,1648.0,1821.0,-173.0,83.6,90.3,-6.7,2.0,,,,,,,,,,,,,,,,,,,
4,7,9,BAY-BAY,2026-04-22,DfB Pokal,Bayer Leverkusen,Bayern München,,,,,,1836.0,1996.0,-160.0,90.9,98.1,-7.2,2.0,,,,,,,,,,,,,,,,,,,
4,7,10,NOT-MID,2026-03-12,Europa League,Nottingham Forest,FC Midtjylland,,,,,,1767.0,1678.0,89.0,87.8,85.5,2.3,1.0,,,,,,,,,,,,,,,,,,,
4,8,1,ALA-MAL,2026-04-25,La Liga,Alaves,Mallorca,,,,,,1607.0,1617.0,-10.0,81.2,81.5,-0.3,2.0,,,,,,,,,,,,,,,,,,,
4,8,2,HSV-TSG,2026-04-25,Bundesliga,HSV Hamburg,TSG Hoffenheim,,,,,,1579.0,1690.0,-111.0,,85.3,,2.0,,,,,,,,,,,,,,,,,,,
4,8,3,AGF-MID,2026-04-26,Superligaen,AGF,FC Midtjylland,,,,,,,1678.0,,80.6,85.5,-4.9,2.0,,,,,,,,,,,,,,,,,,,
4,8,4,MIL-JUV,2026-04-26,Serie A,AC Milan,Juventus,,,,,,1816.0,1819.0,-3.0,90.1,90.2,-0.1,2.0,,,,,,,,,,,,,,,,,,,
4,8,5,MAN-BRE,2026-04-27,Premier League,Manchester Utd,Brentford,,,,,,,1841.0,,90.5,91.6,-1.1,2.0,,,,,,,,,,,,,,,,,,,
4,8,6,PAR-BAY,2026-04-28,Champions League,Paris Saint-Germain,Bayern München,4.0,4.8,1.75,24.3,55.5,1432.0,1996.0,-564.0,95.8,98.1,-2.3,2.0,,,,,,,,,,,,,,,,,,,
4,8,7,ATL-ARS,2026-04-29,Champions League,Atlético Madrid,Arsenal,3.25,3.3,2.4,29.9,40.6,1870.0,2052.0,-182.0,92.2,100.0,-7.8,2.0,,,,,,,,,,,,,,,,,,,
4,8,8,BRA-FRE,2026-04-30,Europa League,Braga,Freiburg,2.4,3.05,3.1,39.0,30.2,1672.0,1726.0,-54.0,85.1,86.5,-1.4,2.0,,,,,,,,,,,,,,,,,,,
4,8,9,NOT-AST,2026-04-30,Europa League,Nottingham,Aston Villa,2.59,3.38,2.99,38.0,32.9,1767.0,1923.0,-156.0,87.8,95.4,-7.6,2.0,,,,,,,,,,,,,,,,,,,
4,8,10,VAL-STR,2026-04-30,Conference League,Vallecano,Strasbourg,2.2,3.3,3.1,42.1,29.9,1640.0,1699.0,-59.0,83.1,85.2,-2.1,2.0,,,,,,,,,,,,,,,,,,,
4,9,1,LEV-RBL,2026-05-02,Bundesliga,Bayer Leverkusen,RB Leipzig,2.2,4.13,2.96,43.9,32.7,1836.0,1760.0,76.0,90.9,88.2,2.7,1.0,,,,,,,,,,,,,,,,,,,
4,9,2,ATA-GEN,2026-05-02,Serie A,Atalanta,Genoa,1.59,4.13,6.0,60.6,16.1,1816.0,1633.0,183.0,90.0,81.6,8.4,1.0,,,,,,,,,,,,,,,,,,,
4,9,3,MAU-LIV,2026-05-03,Premier League,Manchester United,Liverpool,2.32,3.8,2.8,41.0,34.0,,1940.0,,90.5,95.0,-4.5,2.0,,,,,,,,,,,,,,,,,,,
4,9,4,AGF-SJE,2026-05-03,Superligaen,AGF,Sønderjyske,,,,,,,1466.0,,80.6,77.2,3.4,1.0,,,,,,,,,,,,,,,,,,,
4,9,5,SEV-RSO,2026-05-04,La Liga,Sevilla,Real Sociedad,2.41,3.54,2.98,40.2,32.5,1608.0,1651.0,-43.0,80.8,83.1,-2.3,2.0,,,,,,,,,,,,,,,,,,,
4,9,6,ARS-ATM,2026-05-05,Champions League,Arsenal,Atlético Madrid,1.7,3.95,5.5,57.5,17.8,2052.0,1870.0,182.0,100.0,92.2,7.8,1.0,,,,,,,,,,,,,,,,,,,
4,9,7,BAY-MAI,2026-05-06,Champions League,Bayern München,Paris Saint-Germain,1.76,4.75,4.0,55.2,24.3,1996.0,1432.0,564.0,98.1,95.8,2.3,1.0,,,,,,,,,,,,,,,,,,,
4,9,8,AVI-NOT,2026-05-07,Europa League,Aston Villa,Nottingham Forest,1.73,3.7,4.8,54.7,19.7,1923.0,1767.0,156.0,95.4,87.8,7.6,1.0,,,,,,,,,,,,,,,,,,,
4,9,9,FRE-BRA,2026-05-07,Europa League,Freiburg,Braga,1.72,3.4,4.1,51.9,21.8,1726.0,1672.0,54.0,86.5,85.1,1.4,1.0,,,,,,,,,,,,,,,,,,,
